City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.7,86,97,1.75,GS,1689885386
1,zapala,-38.8992,-70.0544,11.38,46,63,11.69,AR,1689885303
2,edinburgh of the seven seas,-37.0676,-12.3116,11.74,59,24,9.96,SH,1689885386
3,nova vicosa,-17.8919,-39.3719,22.61,86,100,7.03,BR,1689885099
4,port saint john's,-31.6229,29.5448,13.43,60,87,2.16,ZA,1689885386
5,stanley,54.868,-1.6985,13.21,91,86,3.42,GB,1689885129
6,goz beida,13.95,20.55,29.82,47,77,2.03,TD,1689885386
7,mazara del vallo,37.6641,12.588,27.97,67,0,4.43,IT,1689885387
8,dakhla,23.6848,-15.958,23.01,83,1,11.32,EH,1689885387
9,port-aux-francais,-49.35,70.2167,1.85,56,87,17.31,TF,1689885106
10,qaqortoq,60.7167,-46.0333,7.6,93,100,2.62,GL,1689884957
11,saipan,15.1355,145.701,28.39,100,0,3.6,MP,1689885123
12,daru,-9.0763,143.2092,24.85,78,93,4.99,PG,1689885183
13,albany,42.6001,-73.9662,30.51,41,34,2.03,US,1689885113
14,haiku-pauwela,20.9219,-156.3051,27.92,73,75,7.72,US,1689884899
15,susuman,62.7833,148.1667,21.41,57,9,2.31,RU,1689885176
16,san patricio,28.017,-97.5169,38.42,40,3,7.08,US,1689885130
17,gokwe,-18.2048,28.9349,14.15,44,0,6.19,ZW,1689885381
18,adamstown,-25.066,-130.1015,22.01,87,100,17.25,PN,1689885108
19,waitangi,-43.9535,-176.5597,7.12,94,99,0.89,NZ,1689885108
20,tieli,46.95,128.05,20.4,94,9,1.04,CN,1689885388
21,bilibino,68.0546,166.4372,16.76,59,89,1.24,RU,1689885388
22,maneromango,-7.1988,38.7848,19.82,90,2,3.24,TZ,1689885388
23,guerrero negro,27.9769,-114.0611,25.16,60,14,8.12,MX,1689885215
24,cabo san lucas,22.8909,-109.9124,37.01,43,20,7.72,MX,1689885227
25,carnarvon,-24.8667,113.6333,12.7,47,1,8.17,AU,1689885388
26,tazacorte,28.629,-17.9293,23.54,89,75,8.23,ES,1689885105
27,iqaluit,63.7506,-68.5145,5.85,100,100,2.57,CA,1689885388
28,bredasdorp,-34.5322,20.0403,8.99,75,0,4.86,ZA,1689885389
29,placido de castro,-10.3353,-67.1856,33.12,34,0,0.95,BR,1689885389
30,hawaiian paradise park,19.5933,-154.9731,25.41,89,100,2.57,US,1689885384
31,avarua,-21.2078,-159.775,22.03,56,40,3.6,CK,1689885389
32,olonkinbyen,70.9221,-8.7187,5.62,82,100,1.23,SJ,1689885389
33,rechka-vydrino,51.485,104.8461,11.66,92,57,0.32,RU,1689885389
34,hamilton,39.1834,-84.5333,32.58,67,75,7.2,US,1689885389
35,fortuna,40.5982,-124.1573,20.52,79,100,3.09,US,1689885389
36,kailua-kona,19.6406,-155.9956,28.98,89,40,5.66,US,1689885158
37,igarka,67.4667,86.5833,16.05,99,100,3.78,RU,1689885389
38,ushuaia,-54.8,-68.3,-0.19,93,100,2.57,AR,1689885312
39,enewetak,11.3474,162.3373,28.47,78,91,5.21,MH,1689885389
40,ceelbuur,4.685,46.6176,25.97,62,100,9.97,SO,1689885390
41,puerto natales,-51.7236,-72.4875,0.74,97,100,3.64,CL,1689885167
42,barreirinhas,-2.7469,-42.8264,25.84,75,13,4.06,BR,1689885390
43,port alfred,-33.5906,26.891,13.33,54,49,7.54,ZA,1689885390
44,bethel,41.3712,-73.414,30.01,61,40,2.06,US,1689885323
45,pisco,-13.7,-76.2167,22.03,68,0,5.14,PE,1689885390
46,aden,12.7794,45.0367,30.02,74,97,2.52,YE,1689885390
47,atafu village,-8.5421,-172.5159,28.32,77,20,4.93,TK,1689885390
48,anadyr,64.75,177.4833,12.28,93,100,3.58,RU,1689885131
49,kapuskasing,49.4169,-82.4331,22.0,60,75,1.03,CA,1689885391
